DATE,AQI,PM2.5,PM10,SO2,NO2,CO2,O3
03-12-2020,21,7,19,2,20,0.3,48
04-12-2020,20,7,19,3,20,0.33,47
05-12-2020,36,21,36,6,42,0.48,25
06-12-2020,53,34,52,6,35,0.58,29
07-12-2020,26,7,26,3,14,0.28,48
08-12-2020,37,20,39,5,40,0.5,21
09-12-2020,65,44,78,6,59,0.85,5
10-12-2020,78,56,94,5,69,1.11,10
11-12-2020,51,32,55,4,52,0.64,19
12-12-2020,99,73,99,4,60,1.33,8
13-12-2020,26,8,26,2,8,0.28,49
14-12-2020,26,10,26,3,19,0.36,37
15-12-2020,37,15,38,4,35,0.43,19
16-12-2020,35,17,38,4,31,0.44,25
17-12-2020,61,36,72,5,56,0.84,8
18-12-2020,27,9,27,3,18,0.31,46
19-12-2020,45,25,51,5,50,0.57,11
20-12-2020,40,24,43,5,43,0.56,27
21-12-2020,53,34,54,5,55,0.71,16
22-12-2020,72,52,75,5,64,0.9,9
23-12-2020,94,39,128,4,30,0.59,42
24-12-2020,54,19,60,3,24,0.38,44
25-12-2020,64,31,79,5,55,0.71,12
26-12-2020,75,46,98,9,57,1.24,6
27-12-2020,85,63,100,6,59,1.39,8
28-12-2020,88,60,93,7,39,0.94,20
29-12-2020,50,8,54,2,6,0.28,49
30-12-2020,30,5,30,2,7,0.29,51
31-12-2020,34,11,35,2,26,0.38,34
01-11-2020,54,15,67,2,20,0.28,37
02-11-2020,42,6,44,2,16,0.23,40
03-11-2020,33,10,34,2,27,0.3,28
04-11-2020,63,37,77,3,57,0.68,8
05-11-2020,113,84,124,5,86,1.12,9
06-11-2020,114,74,136,3,70,0.91,24
07-11-2020,92,27,136,2,25,0.38,42
08-11-2020,36,11,40,2,27,0.32,30
09-11-2020,48,20,55,2,47,0.52,16
10-11-2020,63,36,73,3,58,0.73,11
11-11-2020,129,98,135,6,88,1.15,6
12-11-2020,127,89,113,4,69,0.97,26
13-11-2020,46,20,50,4,43,0.56,23
14-11-2020,70,46,82,3,63,0.86,4
15-11-2020,103,77,91,3,61,1.05,10
16-11-2020,135,103,114,5,69,1.53,4
17-11-2020,137,104,95,2,49,1.66,7
18-11-2020,60,45,18,2,29,0.99,21
19-11-2020,15,7,11,2,14,0.33,44
20-11-2020,22,9,20,2,21,0.32,44
21-11-2020,42,26,33,2,42,0.53,14
22-11-2020,15,7,13,2,11,0.26,45
23-11-2020,27,13,27,3,25,0.38,31
24-11-2020,45,29,47,3,46,0.61,13
25-11-2020,40,25,40,4,35,0.55,28
26-11-2020,38,19,39,4,44,0.63,17
27-11-2020,30,16,30,2,22,0.42,43
28-11-2020,25,11,24,2,22,0.34,38
29-11-2020,32,15,32,3,29,0.39,28
30-11-2020,31,16,32,3,28,0.38,31
01-10-2020,61,43,47,2,29,0.59,32
02-10-2020,22,5,18,2,12,0.21,47
03-10-2020,40,20,44,4,27,0.45,37
04-10-2020,20,4,19,2,8,0.18,43
05-10-2020,22,6,20,2,20,0.26,35
06-10-2020,46,25,50,4,36,0.52,30
07-10-2020,81,59,84,5,54,0.89,28
08-10-2020,113,85,93,3,67,0.92,18
09-10-2020,141,107,106,3,69,1,36
10-10-2020,184,139,104,3,47,1,68
11-10-2020,64,43,43,2,23,0.41,45
12-10-2020,28,9,28,2,26,0.28,37
13-10-2020,37,13,38,2,27,0.33,36
14-10-2020,32,8,32,3,25,0.46,28
15-10-2020,76,45,71,2,44,0.73,16
16-10-2020,35,17,26,2,28,0.35,39
17-10-2020,44,15,45,2,43,0.39,26
18-10-2020,56,27,64,3,50,0.63,27
19-10-2020,72,48,78,3,56,0.85,27
20-10-2020,152,115,119,3,76,1,16
21-10-2020,109,43,140,2,24,0.37,41
22-10-2020,49,12,59,2,22,0.27,40
23-10-2020,23,7,21,1,17,0.23,35
24-10-2020,56,29,65,3,46,0.56,28
25-10-2020,104,78,119,5,68,0.93,26
26-10-2020,117,84,118,4,59,0.88,37
27-10-2020,44,8,47,2,24,0.3,43
28-10-2020,44,15,47,3,41,0.43,21
29-10-2020,62,34,74,3,57,0.62,16
30-10-2020,71,51,80,2,55,0.7,27
31-10-2020,159,78,217,2,53,0.64,21
01-09-2020,28,11,25,2,22,0.46,43
02-09-2020,27,13,25,2,19,0.4,46
03-09-2020,20,6,16,2,16,0.34,48
04-09-2020,36,13,33,2,27,0.45,48
05-09-2020,55,23,51,2,30,1.17,84
06-09-2020,90,57,82,4,32,1.02,120
07-09-2020,33,16,28,2,19,0.44,80
08-09-2020,22,7,18,2,21,0.33,46
09-09-2020,26,7,22,2,25,0.33,44
10-09-2020,20,6,20,2,20,0.32,36
11-09-2020,16,4,14,2,17,0.4,26
12-09-2020,21,10,20,2,16,0.43,44
13-09-2020,40,23,38,2,25,0.53,58
14-09-2020,59,42,49,2,23,0.61,64
15-09-2020,50,34,22,2,21,0.67,52
16-09-2020,16,5,15,2,13,0.28,38
17-09-2020,21,6,18,2,19,0.33,41
18-09-2020,28,9,25,2,28,0.37,35
19-09-2020,36,13,36,2,31,0.41,58
20-09-2020,32,11,30,2,25,0.33,59
21-09-2020,59,36,64,3,37,0.63,69
22-09-2020,41,23,37,2,31,0.5,43
23-09-2020,48,33,35,2,34,0.93,38
24-09-2020,43,27,23,3,23,0.65,59
25-09-2020,50,34,39,2,32,0.7,63
26-09-2020,73,52,54,2,34,0.71,85
27-09-2020,88,65,65,2,38,0.77,97
28-09-2020,109,82,84,2,39,0.82,78
29-09-2020,21,13,13,3,18,0.39,38
30-09-2020,28,16,27,2,26,0.39,25
01-08-2020,48,33,31,2,23,0.67,68
02-08-2020,42,15,31,2,19,0.44,101
03-08-2020,41,17,34,2,22,0.48,98
04-08-2020,41,13,35,2,26,0.42,80
05-08-2020,52,31,53,2,31,0.69,59
06-08-2020,47,30,42,2,21,0.79,88
07-08-2020,41,23,31,3,18,0.69,81
08-08-2020,46,22,40,2,18,0.57,104
09-08-2020,43,17,32,2,15,0.45,112
10-08-2020,37,14,25,2,15,0.4,104
11-08-2020,65,30,53,2,19,0.57,121
12-08-2020,50,33,47,2,20,0.65,77
13-08-2020,27,11,16,3,13,0.6,77
14-08-2020,53,26,41,2,21,0.61,99
15-08-2020,47,32,46,2,23,0.64,73
16-08-2020,54,38,37,3,20,0.62,60
17-08-2020,65,47,39,2,19,0.75,54
18-08-2020,47,31,25,2,21,0.64,39
19-08-2020,23,9,22,2,21,0.41,41
20-08-2020,31,19,29,2,22,0.5,39
21-08-2020,45,22,43,2,25,0.62,79
22-08-2020,57,37,57,2,25,0.68,93
23-08-2020,78,56,72,2,25,0.75,101
24-08-2020,30,10,15,2,13,0.37,87
25-08-2020,47,17,41,2,28,0.5,84
26-08-2020,85,58,77,4,31,1.55,90
27-08-2020,68,45,51,2,24,1.04,75
28-08-2020,42,16,38,2,24,0.51,90
29-08-2020,68,48,73,2,31,0.8,92
30-08-2020,73,53,55,2,21,0.95,93
31-08-2020,29,15,23,2,20,0.5,42
01-07-2020,69,24,52,2,26,0.5,125
02-07-2020,44,27,32,2,15,0.72,124
03-07-2020,67,49,38,2,16,0.89,94
04-07-2020,64,44,42,2,20,0.61,103
05-07-2020,39,22,29,2,19,0.46,92
06-07-2020,42,17,27,2,17,0.43,105
07-07-2020,32,13,24,2,19,0.34,85
